# iter   residual_norm   true_error_norm
116  6.214864968378823e-02  8.293984134248007e-01
117  6.214725273179117e-02  8.290731148129316e-01
118  6.131101901914030e-02  8.237536207581684e-01
119  6.130369390103856e-02  8.229400295229843e-01
120  6.039720352652297e-02  8.168231850542257e-01
121  6.039646649182381e-02  8.165772845409505e-01
122  5.961022905046642e-02  8.107515890531630e-01
123  5.960090803790308e-02  8.098394983009544e-01
124  5.885185986904329e-02  8.048993906550355e-01
125  5.875041726741493e-02  8.007156529452764e-01
126  5.804844447250228e-02  7.956762661585520e-01
127  5.792736411964975e-02  7.912626413282454e-01
128  5.699061302987251e-02  7.845592631121009e-01
129  5.684712213223841e-02  7.799259216050518e-01
130  5.604309624699618e-02  7.752233658003486e-01
131  5.587885807466924e-02  7.700975716551350e-01
132  5.510070190708227e-02  7.657031146786014e-01
133  5.478436777813733e-02  7.568982465551864e-01
134  5.421639424899177e-02  7.533978685133282e-01
135  5.377395196778408e-02  7.419840510897022e-01
136  5.282994932196637e-02  7.339231057528345e-01
137  5.230158076433963e-02  7.225066189133467e-01
138  5.104008410612729e-02  7.103429479536828e-01
139  5.054956989566663e-02  6.998978071844986e-01
140  4.951054115111023e-02  6.916976749063105e-01
141  4.890909789261055e-02  6.802711422908636e-01
142  4.759352842631345e-02  6.701334209318099e-01
143  4.697688043658867e-02  6.591437566409505e-01
144  4.588041711027478e-02  6.511631240211263e-01
145  4.548734392307570e-02  6.422210651810094e-01
146  4.428884022611308e-02  6.339059480018617e-01
147  4.404689976589544e-02  6.277786612540424e-01
148  4.271538614295106e-02  6.177718079947137e-01
149  4.206638316324852e-02  6.036958908039662e-01
150  4.089036424003147e-02  5.933552019950468e-01
151  4.025307916653372e-02  5.800908403110033e-01
152  3.945183882168832e-02  5.740857127293645e-01
153  3.870470757813475e-02  5.588832183564556e-01
154  3.808925378307226e-02  5.540765975085894e-01
155  3.723581824596416e-02  5.369573908682510e-01
156  3.646585648312446e-02  5.306978915563696e-01
157  3.553923161603037e-02  5.127913910349846e-01
158  3.497554622022466e-02  5.085341883775542e-01
159  3.390690689420071e-02  4.883434081960097e-01
160  3.365753610781523e-02  4.874933785165311e-01
161  3.272993461541370e-02  4.707768434065731e-01
162  3.242482522697773e-02  4.694223761677612e-01
163  3.153896239078189e-02  4.557502883656298e-01
164  3.120266947222797e-02  4.542953646904756e-01
165  3.046468753497725e-02  4.431729025642495e-01
166  3.016932057979395e-02  4.420593938675156e-01
167  2.938216763040004e-02  4.301744603293471e-01
168  2.916979099984826e-02  4.293022288734591e-01
169  2.797598479334695e-02  4.126260138214329e-01
170  2.772622871886022e-02  4.112832235509988e-01
171  2.625031980082470e-02  3.925228105193578e-01
172  2.610905771918979e-02  3.918964047839744e-01
173  2.522784915296924e-02  3.813786792908034e-01
174  2.517175331871530e-02  3.815540372313269e-01
175  2.427255685706819e-02  3.709269429809151e-01
176  2.426781486127352e-02  3.707037702616914e-01
177  2.371127000792679e-02  3.641881172899110e-01
178  2.371097519352828e-02  3.642284049741506e-01
179  2.321947153555868e-02  3.578891818551294e-01
180  2.321944562564631e-02  3.578802243609711e-01
181  2.254881043538991e-02  3.485856044172067e-01
182  2.251372632495610e-02  3.482405019858634e-01
183  2.182212033009653e-02  3.380547464413516e-01
184  2.165888001598808e-02  3.356079045364866e-01
185  2.116645689950677e-02  3.277653302852685e-01
186  2.103189639930112e-02  3.256671826373023e-01
187  2.073462652709874e-02  3.205292740745644e-01
188  2.059935426938287e-02  3.184435033126251e-01
189  1.989186551386314e-02  3.048025892087600e-01
190  1.960265575298183e-02  2.993752667838763e-01
191  1.826771767205725e-02  2.757597134194028e-01
192  1.700136145242752e-02  2.544582478974279e-01
193  1.517484366003049e-02  2.330035599981242e-01
194  1.448574461401538e-02  2.196541029243840e-01
195  1.148025923591139e-02  1.914308636915497e-01
196  1.092465560722943e-02  1.836490609539307e-01
197  9.638288879937092e-03  1.827549436087822e-01
198  9.255659057430938e-03  1.908284840018941e-01
199  7.350026891610076e-03  1.586634587232272e-01
200  1.216627948991974e-13  1.841168358561751e-12
